,,,,,,,,,,,,,
,,,,JURNAL VANZARI,,,,,,,,,
,19,Teu redus PPR Ø32x20x32,,25,2.22,,27.75,,5.27,,,,
,,,,,,,,,,,,,
,19,"Racord PPR Ø20x1/2"" Fi",,50,3.00,,75.00,,14.25,,,,
,,,,,,,,,,,,,
,19,"Racord PPR Ø20x1/2"" Fe",,50,3.58,,89.50,,17.01,,,,
,,,,,,,,,,,,,
,19,Teava PPR Ø32 PN20 fibra comp.,,60,8.40,,252.00,,47.88,,,,
,,,,,,,,,,,,,
,19,Teava PPR Ø20 PN20 fibra comp.,,160,3.10,,248.00,,47.12,,,,
12-Jan-2018,FA120180100012,VELGALA SRL ,,,,,1556.47,,295.73,,1852.20,,1199.06
,,,,,,,,,,,,,
,19,Rad. port prosop 500x1500 drep,,3,157.97,,379.13,,72.03,,,,
,,,,,,,,,,,,,
,19,Radiator 22x600x600 HOFMANN,,3,101.76,,305.28,,58.00,,,,
,,,,,,,,,,,,,
,19,Radiator 22x600x400 HOFMANN,,4,75.29,,301.16,,57.22,,,,
,,,,,,,,,,,,,
,19,Ocolire  Ø20 cu mufa lunga,,30,2.20,,33.00,,6.27,,,,
,,,,,,,,,,,,,
,19,Ocolire Ø20 cu mufa scurta,,50,1.42,,35.50,,6.75,,,,
,,,,,,,,,,,,,
,19,Teava PPR Ø25 PN25 aluminiu,,160,6.28,,502.40,,95.46,,,,
,,,,,,,,,,,,,
12-Jan-2018,FA120180100013,C.S.V. EURO MEDA SRL ,,,,,5183.40,,984.85,,6168.25,,3785.94
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19,"RR - Dop alama 1/2""",,50,1.07,,37.45,,7.12,,,,
,,,,,,,,,,,,,
,19,"RR - Dop alama 1""",,20,3.83,,53.62,,10.19,,,,
,,,,,,,,,,,,,
,19,"Racord hex. PPR Ø50x1 1/2"" Fe",,10,40.54,,202.70,,38.51,,,,
,,,,,,,,,,,,,
,19,Teava PPR Ø50 PN25 aluminiu,,48,27.31,,655.44,,124.53,,,,
,,,,,,,,,,,,,
,19,"Teu PPR 25x3/4""x25 Fi",,50,6.18,,154.50,,29.36,,,,
,,,,,,,,,,,,,
,19,"Rac. olandez PPR Ø32x1"" Fe",,40,16.20,,324.00,,61.56,,,,
,,,,,,,,,,,,,
,19,"Rac. olandez PPR Ø20x1/2"" Fi",,100,6.76,,338.00,,64.22,,,,
,,,,,,,,,,,,,
,19,RR - Niplu redus alama 1/2-3/4,,100,2.40,,168.00,,31.92,,,,
,,,,,,,,,,,,,
,19,RR - Niplu redus alama 3/4-1,,30,4.03,,84.63,,16.08,,,,
,,,,,,,,,,,,,
,19,"RR - Niplu alama 3/4""",,50,2.80,,98.00,,18.62,,,,
,,,,,,,,,,,,,
,19,"RR - Niplu alama 1/2""",,100,1.71,,119.70,,22.74,,,,
,,,,,,,,,,,,,
,19,"Racord hex. PPR Ø63x2"" Fe",,10,71.06,,355.30,,67.51,,,,
,,,,,,,,,,,,,
,19,"Racord PPR Ø32x1"" Fi",,200,9.22,,922.00,,175.18,,,,
,,,,,,,,,,,,,
,19,"Racord PPR Ø20x1/2"" Fe",,600,3.58,,1074.00,,204.06,,,,
,,,,,,,,,,,,,
,19,"Cot perete PPR DS Ø20x1/2"" Fi",,48,11.94,,286.56,,54.45,,,,
,,,,,,,,,,,,,
,19,Cot PPR 90º  Ø32 FI-FE,,10,1.90,,9.50,,1.81,,,,
,,,,,,,,,,,,,
,19,Cot PPR 90º Ø20,,2000,0.30,,300.00,,57.00,,,,
,,,,,,,,,,,,,
12-Jan-2018,FA120180100014,SELCOROM SRL ,,,,,750.00,,142.50,,892.50,,670.00
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,19,Cot PPR 90º Ø20,,5000,0.15,,750.00,,142.50,,,,
,,,,,,,,,,,,,
